test_type,partition,run,worker,node,communication_time,computation_time,total_time
A,xs-4114,1,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.64,42.04
A,xs-4114,1,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.68,42.04
A,xs-4114,1,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.50,41.52,42.04
A,xs-4114,1,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.52,41.51,42.04
A,xs-4114,2,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.64,42.03
A,xs-4114,2,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.68,42.03
A,xs-4114,2,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.39,41.63,42.03
A,xs-4114,2,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.45,41.58,42.03
A,xs-4114,3,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.33,41.57,41.92
A,xs-4114,3,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.37,41.54,41.92
A,xs-4114,3,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.36,41.56,41.92
A,xs-4114,3,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.58,41.92
A,xs-4114,4,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.34,41.55,41.91
A,xs-4114,4,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.36,41.53,41.91
A,xs-4114,4,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.45,41.45,41.91
A,xs-4114,4,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.50,41.41,41.91
A,xs-4114,5,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.33,41.53,41.88
A,xs-4114,5,1,soctf-pdc-005.d1.comp.nus.edu.sg,0.41,41.46,41.88
A,xs-4114,5,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.39,41.48,41.88
A,xs-4114,5,3,soctf-pdc-005.d1.comp.nus.edu.sg,0.38,41.51,41.88
B,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,28.65,0.06,28.74
B,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,28.65,0.07,28.74
B,i7-7700,1,4,soctf-pdc-012.d1.comp.nus.edu.sg,28.67,0.07,28.74
B,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,28.68,0.06,28.74
B,i7-7700,1,5,soctf-pdc-012.d1.comp.nus.edu.sg,28.70,0.05,28.74
B,i7-7700,1,6,soctf-pdc-012.d1.comp.nus.edu.sg,28.68,0.05,28.74
B,i7-7700,1,7,soctf-pdc-012.d1.comp.nus.edu.sg,28.69,0.05,28.74
B,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,28.68,0.06,28.74
B,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,27.76,0.06,27.89
B,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,27.80,0.07,27.89
B,i7-7700,2,4,soctf-pdc-012.d1.comp.nus.edu.sg,27.81,0.06,27.89
B,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,27.83,0.05,27.89
B,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,27.81,0.07,27.89
B,i7-7700,2,6,soctf-pdc-012.d1.comp.nus.edu.sg,27.84,0.04,27.89
B,i7-7700,2,7,soctf-pdc-012.d1.comp.nus.edu.sg,27.85,0.03,27.89
B,i7-7700,2,5,soctf-pdc-012.d1.comp.nus.edu.sg,27.83,0.06,27.89
B,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,28.11,0.07,28.24
B,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,28.16,0.06,28.24
B,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,28.16,0.06,28.24
B,i7-7700,3,4,soctf-pdc-012.d1.comp.nus.edu.sg,28.16,0.05,28.24
B,i7-7700,3,7,soctf-pdc-012.d1.comp.nus.edu.sg,28.20,0.03,28.24
B,i7-7700,3,5,soctf-pdc-012.d1.comp.nus.edu.sg,28.17,0.06,28.24
B,i7-7700,3,6,soctf-pdc-012.d1.comp.nus.edu.sg,28.19,0.05,28.24
B,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,28.17,0.07,28.24
B,i7-7700,4,0,soctf-pdc-014.d1.comp.nus.edu.sg,28.51,0.06,28.64
B,i7-7700,4,3,soctf-pdc-014.d1.comp.nus.edu.sg,28.56,0.06,28.64
B,i7-7700,4,4,soctf-pdc-014.d1.comp.nus.edu.sg,28.58,0.05,28.64
B,i7-7700,4,6,soctf-pdc-014.d1.comp.nus.edu.sg,28.59,0.05,28.64
B,i7-7700,4,7,soctf-pdc-014.d1.comp.nus.edu.sg,28.60,0.05,28.64
B,i7-7700,4,2,soctf-pdc-014.d1.comp.nus.edu.sg,28.57,0.06,28.64
B,i7-7700,4,1,soctf-pdc-014.d1.comp.nus.edu.sg,28.60,0.05,28.64
B,i7-7700,4,5,soctf-pdc-014.d1.comp.nus.edu.sg,28.59,0.06,28.64
B,i7-7700,5,0,soctf-pdc-014.d1.comp.nus.edu.sg,27.96,0.07,28.08
B,i7-7700,5,1,soctf-pdc-014.d1.comp.nus.edu.sg,27.97,0.06,28.08
B,i7-7700,5,5,soctf-pdc-014.d1.comp.nus.edu.sg,28.02,0.05,28.08
B,i7-7700,5,6,soctf-pdc-014.d1.comp.nus.edu.sg,28.04,0.05,28.08
B,i7-7700,5,7,soctf-pdc-014.d1.comp.nus.edu.sg,28.04,0.04,28.08
B,i7-7700,5,3,soctf-pdc-014.d1.comp.nus.edu.sg,28.02,0.07,28.08
B,i7-7700,5,4,soctf-pdc-014.d1.comp.nus.edu.sg,28.03,0.05,28.08
B,i7-7700,5,2,soctf-pdc-014.d1.comp.nus.edu.sg,28.03,0.06,28.08
B,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.05
B,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.05
B,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.05
B,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.05
A,i7-7700,1,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.90,33.14
A,i7-7700,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.90,33.14
A,i7-7700,1,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.49,32.64,33.14
A,i7-7700,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.51,32.62,33.14
B,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,2,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.23,33.02,33.27
A,i7-7700,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.28,32.98,33.27
A,i7-7700,2,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.55,32.72,33.27
A,i7-7700,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.63,32.64,33.27
B,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.02,0.04
B,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.03,0.04
B,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.04
B,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.01,0.04,0.04
A,i7-7700,3,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.98,33.22
A,i7-7700,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.99,33.22
A,i7-7700,3,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.45,32.77,33.22
A,i7-7700,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.44,32.78,33.22
B,i7-7700,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,4,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,4,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,4,0,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.84,33.11
A,i7-7700,4,1,soctf-pdc-014.d1.comp.nus.edu.sg,0.24,32.87,33.11
A,i7-7700,4,2,soctf-pdc-014.d1.comp.nus.edu.sg,0.47,32.64,33.11
A,i7-7700,4,3,soctf-pdc-014.d1.comp.nus.edu.sg,0.44,32.67,33.11
A,both,1,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.29,40.98
A,both,1,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.33,40.98
A,both,1,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.35,40.98
A,both,1,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.39,40.98
B,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.02,0.04
B,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
B,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.00,0.03,0.04
A,i7-7700,5,0,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.92,33.16
A,i7-7700,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.22,32.93,33.16
A,i7-7700,5,2,soctf-pdc-012.d1.comp.nus.edu.sg,0.46,32.69,33.16
A,i7-7700,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.44,32.72,33.16
A,both,2,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.33,41.03
A,both,2,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.62,32.44,41.03
A,both,2,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.41,41.03
A,both,2,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.58,40.44,41.03
A,both,3,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.29,41.09
A,both,3,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.64,32.34,41.09
A,both,3,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.45,41.09
A,both,3,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.48,41.09
A,both,4,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.88
A,both,4,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.67,32.26,40.88
A,both,4,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.61,40.24,40.88
A,both,4,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.61,40.27,40.88
A,both,5,3,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.93
A,both,5,1,soctf-pdc-012.d1.comp.nus.edu.sg,0.66,32.25,40.93
A,both,5,0,soctf-pdc-005.d1.comp.nus.edu.sg,0.60,40.29,40.93
A,both,5,2,soctf-pdc-005.d1.comp.nus.edu.sg,0.59,40.33,40.93
